Symbol,Company Name,Market,Industry Group,Sector,
AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,mai,SERVICE,-,
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
AKS,AKS CORPORATION PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
ALL,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LIMITED,mai,PROPCON,-,
ALLA,ALLA PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
ALLY,ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
ALT,ALT TELECOM PUBLIC COMPANY LIMITED,SET,TECH,ICT,
ALUCON,ALUCON PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
AMA,AMA MARINE PUBLIC COMPANY LIMITED,mai,SERVICE,-,
AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED,mai,SERVICE,-,
AMARIN,AMARIN CORPORATIONS PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
AMC,ASIA METAL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
AMR,AMR ASIA PUBLIC COMPANY LIMITED,SET,TECH,ICT,
ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,SET,CONSUMP,PERSON,
APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
APEX,APEX DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
APP,APPLICAD PUBLIC COMPANY LIMITED,mai,TECH,-,
APURE,AGRIPURE HOLDINGS PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
AQUA,AQUA CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,mai,PROPCON,-,
ARIP,ARIP PUBLIC COMPANY LIMITED,mai,SERVICE,-,
ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED,mai,PROPCON,-,
AS,ASPHERE INNOVATIONS PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
ASAP,SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
ASEFA,ASEFA PUBLIC COMPANY LIMITED,SET,INDUS,IMM,
ASIA,ASIA HOTEL PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
ASIAN,ASIAN SEA CORPORATION PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
ASIMAR,ASIAN MARINE SERVICES PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
ASK,ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
ASN,ASN BROKER PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
ASP,ASIA PLUS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
ASW,ASSETWISE PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
ATP30,ATP30 PUBLIC COMPANY LIMITED,mai,SERVICE,-,
AU,AFTER YOU PUBLIC COMPANY LIMITED,mai,AGRO,-,
AUCT,UNION AUCTION PUBLIC COMPANY LIMITED,mai,SERVICE,-,
AURA,Aurora Design Public Company Limited,SET,CONSUMP,FASHION,
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
AYUD,ALLIANZ AYUDHYA CAPITAL PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
B,BEGISTICS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
B52,B-52 CAPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
BA,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
BAFS,BANGKOK AVIATION FUEL SERVICES PCL.,SET,RESOURC,ENERG,
BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
BANPU,BANPU PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BAREIT,BA Airport Leasehold Real Estate Investment Trust,SET,PROPCON,PF&REIT,
BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,SET,FINCIAL,BANK,
BBGI,BBGI PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BBIK,BLUEBIK GROUP PUBLIC COMPANY LIMITED,mai,TECH,-,
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,SET,FINCIAL,BANK,
BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED,mai,PROPCON,-,
BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BCPG,BCPG PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,SET,INDUS,PETRO,
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,mai,TECH,-,
BEAUTY,BEAUTY COMMUNITY PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
BEC,BEC WORLD PUBLIC COMPANY LIMITED,SET,SERVICE,MEDIA,
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
BEYOND,BOUND AND BEYOND PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BGT,BGT CORPORATION PUBLIC COMPANY LIMITED,mai,CONSUMP,-,
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
BIG,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
BIOTEC,BIO GREEN ENERGY TECH PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
BIS,Bioscience Animal Health Public Company Limited,mai,SERVICE,-,
BIZ,BUSINESS ALIGNMENT PUBLIC COMPANY LIMITED,SET,CONSUMP,PERSON,
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,SET,SERVICE,COMM,
BJCHI,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
BKD,BANGKOK DEC-CON PUBLIC COMPANY LIMITED,SET,PROPCON,CONS,
BKI,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
BKKCP,BANGKOK COMMERCIAL PROPERTY FUND,SET,PROPCON,PF&REIT,
BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
BLAND,BANGKOK LAND PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
BLC,Bangkok Lab and Cosmetic Public Company Limited,SET,CONSUMP,PERSON,
BLESS,BLESS ASSET GROUP PUBLIC COMPANY LIMITED,mai,PROPCON,-,
BLISS,BLISS INTELLIGENCE PUBLIC COMPANY LIMITED,SET,TECH,ICT,
BM,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED,mai,INDUS,-,
BOFFICE,BHIRAJ OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
BOL,BUSINESS ONLINE PUBLIC COMPANY LIMITED,mai,SERVICE,-,
BPP,BANPU POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
